b1,b2,a1,a2,a6,qf1_01,qf1_02,qf1_03,qf1_04,qf1_05,qf1_06,qf1_07,qf1_08,qf1_09,qf1_10,qf1_11,qf1_12,qf4_01,qf4_05,qf4_06,l1,k1,e2c,e7,e9a,e9b,e1c,e2a,e2e
33,Female,East,Gatsibo,Rural,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,Yes,No,Do not save,On a monthly basis,Worsened,No,Have scarce control over my financial situation,No,Some of them
35,Female,South,Nyamagabe,Rural,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Always,Someties (more than 2 months past 2 months),Improved,Yes,"Yes, have a lot of control over my financial situation",Yes,"Yes, most of them"
62,Female,East,Kayonza,Urban,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,No,Sometimes,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",Yes,Seldom
37,Male,East,Gatsibo,Rural,No,No,No,No,Yes,No,No,No,No,Yes,No,No,,Yes,,Yes,No,Always,Someties (more than 2 months past 2 months),Remained the same,Yes,"Yes, have a lot of control over my financial situation",Yes,Some of them
34,Female,Kigali,Gasabo,Rural,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,Yes,No,Always,Rarely (less than 2 months),Worsened,Yes,"Yes, have a lot of control over my financial situation",No,"Yes, most of them"
33,Male,East,Gatsibo,Rural,No,No,No,No,No,No,No,No,Yes,Yes,No,No,,,,Yes,No,Sometimes,Rarely (less than 2 months),Worsened,No,"Yes, have a lot of control over my financial situation",No,Seldom
36,Male,West,Nyabihu,Rural,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Sometimes,Someties (more than 2 months past 2 months),Worsened,No,"Yes, have a lot of control over my financial situation",No,None of them
38,Female,Kigali,Gasabo,Urban,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,,,No,Yes,Always,Never,Improved,Yes,"Yes, have a lot of control over my financial situation",Yes,Yes all
48,Female,South,Nyaruguru,Rural,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,,,,Yes,No,Sometimes,On a monthly basis,Worsened,No,Have no control over my financial situation,Yes,Yes all
39,Female,North,Musanze,Rural,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,,Yes,Yes,Yes,No,Always,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",No,Seldom
36,Female,West,Nyamasheke,Rural,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,No,Do not save,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",No,Seldom
16,Male,East,Kayonza,Rural,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,,No,Yes,Sometimes,On a monthly basis,Remained the same,No,"Yes, have a lot of control over my financial situation",No,"Yes, most of them"
35,Male,West,Rusizi,Urban,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,,Yes,No,Yes,Do not save,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",No,None of them
39,Female,Kigali,Kicukiro,Urban,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,,,No,Yes,Sometimes,Rarely (less than 2 months),Improved,Yes,"Yes, have a lot of control over my financial situation",Yes,Yes all
51,Male,South,Nyanza,Rural,No,No,No,No,Yes,No,No,No,No,Yes,No,No,,Yes,,Yes,No,Always,Someties (more than 2 months past 2 months),Worsened,Yes,Have no control over my financial situation,No,Some of them
18,Male,South,Huye,Urban,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,Yes,No,Do not save,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",No,None of them
33,Male,East,Kirehe,Rural,No,No,No,No,Yes,No,No,No,No,Yes,No,No,,Yes,,Yes,No,Always,Someties (more than 2 months past 2 months),Remained the same,No,"Yes, have a lot of control over my financial situation",No,"Yes, most of them"
72,Female,South,Gisagara,Rural,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,No,Do not save,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",Yes,Seldom
47,Female,South,Huye,Urban,No,No,No,No,No,Yes,No,No,No,Yes,No,No,,,Yes,Yes,No,Always,On a monthly basis,Remained the same,Yes,"Yes, have a lot of control over my financial situation",Yes,None of them
47,Female,Kigali,Kicukiro,Urban,No,No,No,No,Yes,No,No,No,No,Yes,No,No,,Yes,,Yes,No,Sometimes,On a monthly basis,Remained the same,No,"Yes, have a lot of control over my financial situation",No,Seldom
28,Male,Kigali,Gasabo,Rural,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,,Yes,Yes,Always,Rarely (less than 2 months),Improved,No,"Yes, have a lot of control over my financial situation",Yes,Some of them
24,Male,Kigali,Nyarugenge,Rural,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,Yes,Yes,Sometimes,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",No,Seldom
60,Female,South,Nyaruguru,Rural,No,No,No,No,Yes,No,No,No,No,No,Yes,No,,Yes,,Yes,No,Sometimes,On a monthly basis,Remained the same,No,"Yes, have a lot of control over my financial situation",Yes,Some of them
39,Female,North,Musanze,Rural,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,No,No,Sometimes,Never,Improved,Yes,"Yes, have a lot of control over my financial situation",Yes,Some of them
41,Female,South,Muhanga,Urban,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,,,No,Yes,Sometimes,Someties (more than 2 months past 2 months),Worsened,No,"Yes, have a lot of control over my financial situation",Yes,Yes all
21,Male,East,Kirehe,Rural,No,No,No,No,Yes,No,No,No,No,No,No,No,,Yes,,No,No,Sometimes,Someties (more than 2 months past 2 months),Improved,Yes,Have some control over my financial Situation,Yes,Some of them
29,Male,East,Bugesera,Rural,No,No,No,No,No,No,No,No,No,Yes,Yes,No,,,,Yes,No,Sometimes,Someties (more than 2 months past 2 months),Worsened,Yes,"Yes, have a lot of control over my financial situation",Yes,"Yes, most of them"
38,Male,West,Rutsiro,Rural,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,,,No,Yes,Always,Never,Improved,Yes,"Yes, have a lot of control over my financial situation",Yes,"Yes, most of them"
29,Male,East,Nyagatare,Rural,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,,Yes,Yes,Yes,No,Always,Rarely (less than 2 months),Worsened,No,"Yes, have a lot of control over my financial situation",No,"Yes, most of them"
39,Male,East,Gatsibo,Urban,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,,,Yes,No,No,Do not save,Someties (more than 2 months past 2 months),Improved,No,"Yes, have a lot of control over my financial situation",Yes,Some of them
33,Female,Kigali,Kicukiro,Urban,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,Yes,No,Sometimes,On a monthly basis,Remained the same,No,"Yes, have a lot of control over my financial situation",No,Seldom
53,Male,East,Kirehe,Rural,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,,Yes,Yes,Yes,No,Always,Never,Improved,No,"Yes, have a lot of control over my financial situation",No,Some of them
37,Male,Kigali,Gasabo,Urban,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,,No,Yes,Always,Rarely (less than 2 months),Improved,No,"Yes, have a lot of control over my financial situation",Yes,Some of them
42,Female,South,Nyamagabe,Rural,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,,Yes,Yes,Yes,No,Sometimes,Someties (more than 2 months past 2 months),Improved,No,Have control over my financial Situation,No,Seldom
90,Male,East,Bugesera,Urban,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,,Yes,,Yes,No,Sometimes,Someties (more than 2 months past 2 months),Remained the same,Yes,"Yes, have a lot of control over my financial situation",Yes,Some of them
55,Male,East,Bugesera,Urban,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,,Yes,Yes,Sometimes,On a monthly basis,Remained the same,Yes,"Yes, have a lot of control over my financial situation",Yes,"Yes, most of them"
19,Female,Kigali,Nyarugenge,Urban,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,No,Do not save,Never,Remained the same,No,Have control over my financial Situation,No,None of them
21,Female,North,Gakenke,Rural,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,No,Sometimes,On a monthly basis,Improved,No,Have scarce control over my financial situation,No,Some of them
21,Female,West,Rusizi,Urban,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,No,Always,On a monthly basis,Remained the same,No,Have control over my financial Situation,No,"Yes, most of them"
43,Male,East,Rwamagana,Urban,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,,No,Yes,Do not save,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",No,None of them
27,Male,North,Musanze,Rural,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,,Yes,No,Yes,Sometimes,On a monthly basis,Remained the same,No,"Yes, have a lot of control over my financial situation",Yes,"Yes, most of them"
40,Female,Kigali,Kicukiro,Urban,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,Yes,No,Sometimes,Rarely (less than 2 months),Worsened,Yes,Have some control over my financial Situation,Yes,Seldom
24,Male,East,Bugesera,Rural,No,No,No,No,Yes,No,No,No,No,Yes,No,No,,Yes,,Yes,No,Sometimes,Someties (more than 2 months past 2 months),Remained the same,No,"Yes, have a lot of control over my financial situation",Yes,Seldom
43,Male,North,Burera,Urban,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,No,No,Sometimes,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",No,Seldom
91,Male,West,Nyamasheke,Urban,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,No,Do not save,Someties (more than 2 months past 2 months),Worsened,No,"Yes, have a lot of control over my financial situation",No,Seldom
47,Male,Kigali,Nyarugenge,Urban,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,,Yes,Yes,Sometimes,Rarely (less than 2 months),Remained the same,No,"Yes, have a lot of control over my financial situation",No,"Yes, most of them"
51,Female,Kigali,Nyarugenge,Urban,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,,Yes,,Yes,No,Sometimes,Someties (more than 2 months past 2 months),Remained the same,No,"Yes, have a lot of control over my financial situation",Yes,Yes all
42,Female,South,Nyaruguru,Rural,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,,Yes,Yes,Yes,No,Always,Rarely (less than 2 months),Improved,No,"Yes, have a lot of control over my financial situation",No,Some of them
38,Male,East,Gatsibo,Urban,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,,Yes,Yes,Yes,No,Sometimes,Never,Improved,No,"Yes, have a lot of control over my financial situation",No,Yes all
47,Female,Kigali,Gasabo,Rural,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Sometimes,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",No,Some of them
33,Male,North,Rulindo,Rural,No,No,No,No,Yes,Yes,No,No,No,No,No,No,,Yes,Yes,No,No,Sometimes,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",Yes,Some of them
18,Female,South,Nyaruguru,Rural,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,No,Do not save,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",No,Seldom
32,Male,West,Nyabihu,Rural,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,Yes,No,Sometimes,Someties (more than 2 months past 2 months),Remained the same,Yes,"Yes, have a lot of control over my financial situation",Yes,"Yes, most of them"
70,Male,West,Rutsiro,Urban,No,No,No,No,Yes,No,No,No,No,No,Yes,No,,Yes,,Yes,Yes,Sometimes,Someties (more than 2 months past 2 months),Improved,No,"Yes, have a lot of control over my financial situation",Yes,"Yes, most of them"
49,Male,West,Rusizi,Rural,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,,Yes,Yes,Yes,Yes,Always,On a monthly basis,Worsened,Yes,"Yes, have a lot of control over my financial situation",No,None of them
40,Female,West,Nyamasheke,Rural,No,No,No,No,No,Yes,No,No,No,Yes,No,No,,,Yes,No,No,Always,Rarely (less than 2 months),Improved,Yes,"Yes, have a lot of control over my financial situation",Yes,"Yes, most of them"
55,Male,East,Kayonza,Rural,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,,Yes,Yes,Yes,No,Do not save,On a monthly basis,Improved,No,Have scarce control over my financial situation,No,Some of them
35,Male,East,Kirehe,Rural,No,No,No,No,Yes,No,No,No,No,No,Yes,No,,Yes,,Yes,No,Always,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",No,Some of them
49,Female,East,Kayonza,Urban,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,No,No,Sometimes,Someties (more than 2 months past 2 months),Improved,No,"Yes, have a lot of control over my financial situation",Yes,Seldom
52,Male,North,Rulindo,Urban,No,No,No,No,Yes,No,No,No,No,Yes,No,No,,Yes,,Yes,No,Always,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",No,Yes all
28,Female,West,Nyabihu,Rural,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,,,No,Yes,Sometimes,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",Yes,Seldom
24,Female,Kigali,Kicukiro,Urban,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,,No,Yes,Always,Never,Worsened,No,"Yes, have a lot of control over my financial situation",No,"Yes, most of them"
32,Male,East,Kirehe,Rural,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,,Yes,Yes,Yes,No,Always,Someties (more than 2 months past 2 months),Remained the same,No,"Yes, have a lot of control over my financial situation",Yes,"Yes, most of them"
37,Female,South,Nyanza,Rural,No,No,No,No,Yes,No,No,No,No,Yes,No,No,,Yes,,No,No,Sometimes,On a monthly basis,Remained the same,No,Have no control over my financial situation,No,None of them
36,Male,East,Kirehe,Rural,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,,Yes,Yes,Yes,No,Always,Never,Worsened,No,"Yes, have a lot of control over my financial situation",No,Yes all
20,Female,South,Nyamagabe,Rural,No,No,No,No,Yes,No,No,No,No,No,No,No,,Yes,,No,No,Sometimes,Rarely (less than 2 months),Remained the same,No,"Yes, have a lot of control over my financial situation",Yes,"Yes, most of them"
41,Female,East,Kayonza,Urban,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,Yes,No,Always,On a monthly basis,Remained the same,No,"Yes, have a lot of control over my financial situation",No,Some of them
38,Male,West,Rusizi,Urban,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,,No,Yes,Sometimes,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",Yes,Some of them
43,Male,East,Ngoma,Rural,No,No,No,No,No,Yes,No,No,No,No,No,No,,,Yes,Yes,No,Do not save,Someties (more than 2 months past 2 months),Remained the same,No,"Yes, have a lot of control over my financial situation",No,Seldom
24,Male,Kigali,Kicukiro,Urban,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,,,No,Yes,Sometimes,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",No,Some of them
27,Male,East,Bugesera,Rural,No,No,No,No,Yes,No,No,No,No,Yes,No,No,,Yes,,Yes,Yes,Sometimes,Someties (more than 2 months past 2 months),Improved,No,"Yes, have a lot of control over my financial situation",Yes,"Yes, most of them"
30,Male,South,Huye,Rural,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,No,Always,Someties (more than 2 months past 2 months),Worsened,No,"Yes, have a lot of control over my financial situation",Yes,"Yes, most of them"
24,Female,East,Kirehe,Rural,No,No,No,No,No,Yes,No,No,No,Yes,No,No,,,Yes,Yes,No,Sometimes,On a monthly basis,Worsened,No,Have control over my financial Situation,No,Seldom
63,Male,South,Huye,Rural,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,,,No,Yes,Sometimes,On a monthly basis,Remained the same,No,"Yes, have a lot of control over my financial situation",Yes,Seldom
16,Male,East,Bugesera,Rural,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,,No,No,Yes,Sometimes,Someties (more than 2 months past 2 months),Improved,No,"Yes, have a lot of control over my financial situation",No,Some of them
78,Female,West,Nyamasheke,Rural,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,No,No,Do not save,Rarely (less than 2 months),Worsened,Yes,"Yes, have a lot of control over my financial situation",No,None of them
44,Male,Kigali,Gasabo,Urban,No,No,No,No,Yes,No,No,No,No,No,No,No,,Yes,,No,No,Sometimes,On a monthly basis,Remained the same,No,"Yes, have a lot of control over my financial situation",No,Seldom
55,Female,West,Rubavu,Urban,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,Yes,Sometimes,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",No,Seldom
38,Female,East,Nyagatare,Urban,No,No,No,No,Yes,No,No,No,No,Yes,No,No,,Yes,,Yes,No,Always,On a monthly basis,Remained the same,Yes,"Yes, have a lot of control over my financial situation",Yes,Some of them
71,Female,Kigali,Nyarugenge,Urban,No,No,No,No,Yes,No,No,No,No,Yes,No,No,,Yes,,Yes,Yes,Sometimes,Never,Improved,No,"Yes, have a lot of control over my financial situation",Yes,"Yes, most of them"
45,Female,North,Burera,Rural,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,,,Yes,Yes,No,Sometimes,Someties (more than 2 months past 2 months),Remained the same,Yes,"Yes, have a lot of control over my financial situation",No,Seldom
67,Female,Kigali,Gasabo,Rural,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,Yes,No,Always,Someties (more than 2 months past 2 months),Remained the same,No,"Yes, have a lot of control over my financial situation",No,Seldom
29,Male,South,Huye,Rural,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Sometimes,Someties (more than 2 months past 2 months),Remained the same,No,"Yes, have a lot of control over my financial situation",Yes,Some of them
74,Female,Kigali,Kicukiro,Urban,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,,No,Yes,Sometimes,On a monthly basis,Remained the same,No,"Yes, have a lot of control over my financial situation",Yes,Yes all
67,Female,North,Musanze,Urban,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,,No,Yes,Always,Never,Improved,Yes,"Yes, have a lot of control over my financial situation",Yes,Seldom
25,Male,Kigali,Gasabo,Urban,No,No,No,No,Yes,No,No,No,No,Yes,No,No,,Yes,,No,No,Sometimes,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",No,Seldom
55,Male,South,Huye,Urban,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,No,Yes,Always,Never,Improved,Yes,"Yes, have a lot of control over my financial situation",Yes,Yes all
41,Male,South,Nyamagabe,Rural,No,No,No,No,Yes,No,No,No,No,Yes,No,No,,Yes,,Yes,No,Always,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",No,Seldom
22,Male,East,Nyagatare,Urban,No,No,No,No,Yes,No,No,No,No,No,No,No,,Yes,,No,Yes,Do not save,On a monthly basis,Worsened,No,Have some control over my financial Situation,No,Seldom
45,Female,North,Gicumbi,Rural,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,,Yes,Yes,Yes,No,Always,Never,Remained the same,No,"Yes, have a lot of control over my financial situation",Yes,"Yes, most of them"
20,Male,West,Rusizi,Urban,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,No,Do not save,On a monthly basis,Remained the same,No,Have no control over my financial situation,No,None of them
54,Female,North,Musanze,Urban,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,,Yes,Yes,Sometimes,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",No,Seldom
33,Female,Kigali,Gasabo,Urban,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,,Yes,Yes,Sometimes,Never,Remained the same,Yes,"Yes, have a lot of control over my financial situation",No,"Yes, most of them"
63,Female,West,Rubavu,Urban,No,No,No,No,Yes,Yes,No,No,No,No,No,No,,Yes,No,No,No,Sometimes,On a monthly basis,Remained the same,No,"Yes, have a lot of control over my financial situation",Yes,"Yes, most of them"
29,Female,East,Bugesera,Rural,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,,Yes,,Yes,No,Always,On a monthly basis,Worsened,Yes,Have scarce control over my financial situation,Yes,None of them
20,Male,East,Kayonza,Urban,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,No,Do not save,Never,Remained the same,Yes,Have no control over my financial situation,Yes,Seldom
37,Male,Kigali,Nyarugenge,Urban,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,,,No,Yes,Sometimes,On a monthly basis,Worsened,No,Have control over my financial Situation,Yes,Yes all
21,Male,North,Burera,Rural,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,Yes,No,Do not save,Someties (more than 2 months past 2 months),Remained the same,No,"Yes, have a lot of control over my financial situation",No,Seldom
42,Male,North,Gicumbi,Rural,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,Yes,No,Sometimes,Someties (more than 2 months past 2 months),Improved,Yes,"Yes, have a lot of control over my financial situation",Yes,"Yes, most of them"
68,Female,East,Rwamagana,Urban,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,,Yes,Yes,No,No,Always,Someties (more than 2 months past 2 months),Remained the same,No,Have control over my financial Situation,No,Seldom
66,Male,East,Kayonza,Rural,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,,Yes,Yes,Yes,No,Sometimes,Someties (more than 2 months past 2 months),Worsened,No,"Yes, have a lot of control over my financial situation",Yes,Seldom
24,Male,East,Kirehe,Rural,No,No,No,No,Yes,No,No,No,No,No,No,No,,Yes,,No,No,Do not save,On a monthly basis,Remained the same,No,"Yes, have a lot of control over my financial situation",No,None of them
73,Male,South,Huye,Rural,No,No,No,No,No,Yes,No,No,No,Yes,No,No,,,Yes,Yes,No,Always,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",Yes,None of them
18,Female,South,Huye,Rural,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,Yes,No,Sometimes,On a monthly basis,Improved,No,Have control over my financial Situation,No,Seldom
33,Male,East,Kayonza,Urban,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,,Yes,No,Yes,Sometimes,Someties (more than 2 months past 2 months),Remained the same,Yes,"Yes, have a lot of control over my financial situation",Yes,Seldom
31,Female,West,Nyamasheke,Rural,No,No,No,No,No,Yes,No,No,No,Yes,No,No,,,Yes,No,No,Always,Someties (more than 2 months past 2 months),Worsened,No,"Yes, have a lot of control over my financial situation",Yes,Yes all
59,Male,East,Bugesera,Rural,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,,Yes,No,Yes,No,Sometimes,On a monthly basis,Worsened,No,Have some control over my financial Situation,No,Some of them
50,Male,East,Nyagatare,Rural,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,Yes,No,Sometimes,Someties (more than 2 months past 2 months),Remained the same,Yes,"Yes, have a lot of control over my financial situation",Yes,None of them
38,Male,West,Rusizi,Rural,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,,No,Yes,Sometimes,Rarely (less than 2 months),Remained the same,No,"Yes, have a lot of control over my financial situation",No,"Yes, most of them"
84,Male,East,Nyagatare,Rural,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,,Yes,,Yes,No,Do not save,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",Yes,Some of them
32,Male,East,Bugesera,Urban,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,Yes,Yes,Sometimes,Someties (more than 2 months past 2 months),Remained the same,No,"Yes, have a lot of control over my financial situation",Yes,"Yes, most of them"
23,Male,East,Gatsibo,Rural,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,,Yes,Yes,Yes,No,Sometimes,On a monthly basis,Improved,No,"Yes, have a lot of control over my financial situation",No,Yes all
36,Male,West,Rutsiro,Urban,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,,No,No,Always,Rarely (less than 2 months),Worsened,Yes,"Yes, have a lot of control over my financial situation",Yes,Yes all
42,Male,Kigali,Gasabo,Urban,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,,No,Yes,Always,On a monthly basis,Remained the same,No,"Yes, have a lot of control over my financial situation",No,Some of them
29,Female,South,Huye,Rural,No,No,No,No,No,Yes,No,No,No,Yes,No,No,,,Yes,Yes,No,Sometimes,On a monthly basis,Worsened,Yes,"Yes, have a lot of control over my financial situation",No,Seldom
42,Female,Kigali,Kicukiro,Urban,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,,Yes,Yes,Yes,No,Sometimes,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",No,Seldom
33,Male,East,Rwamagana,Rural,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,,Yes,,Yes,No,Sometimes,Someties (more than 2 months past 2 months),Improved,Yes,"Yes, have a lot of control over my financial situation",Yes,"Yes, most of them"
38,Male,South,Nyamagabe,Rural,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,,Yes,Yes,Yes,No,Sometimes,Someties (more than 2 months past 2 months),Worsened,Yes,"Yes, have a lot of control over my financial situation",Yes,Seldom
40,Male,Kigali,Gasabo,Rural,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,,No,Yes,Always,Never,Improved,Yes,"Yes, have a lot of control over my financial situation",Yes,Yes all
26,Male,Kigali,Kicukiro,Urban,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Always,On a monthly basis,Improved,No,"Yes, have a lot of control over my financial situation",Yes,Seldom
56,Female,North,Musanze,Urban,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,,Yes,Yes,Yes,Sometimes,Rarely (less than 2 months),Improved,Yes,"Yes, have a lot of control over my financial situation",Yes,"Yes, most of them"
31,Female,East,Gatsibo,Rural,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,,Yes,Yes,Yes,No,Sometimes,Rarely (less than 2 months),Worsened,No,"Yes, have a lot of control over my financial situation",No,Some of them
38,Female,Kigali,Kicukiro,Urban,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,,No,Yes,Sometimes,Someties (more than 2 months past 2 months),Improved,No,"Yes, have a lot of control over my financial situation",No,Seldom
35,Female,West,Rubavu,Urban,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,,No,Yes,Always,Rarely (less than 2 months),Improved,No,"Yes, have a lot of control over my financial situation",Yes,Some of them
45,Female,Kigali,Kicukiro,Urban,No,No,No,No,No,Yes,No,No,No,Yes,No,No,,,Yes,Yes,No,Sometimes,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",No,"Yes, most of them"
41,Male,West,Nyamasheke,Rural,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,No,No,Always,Rarely (less than 2 months),Remained the same,Yes,"Yes, have a lot of control over my financial situation",Yes,Yes all
39,Male,North,Gakenke,Rural,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,Yes,No,Do not save,Someties (more than 2 months past 2 months),Worsened,No,"Yes, have a lot of control over my financial situation",No,Some of them
41,Female,East,Ngoma,Rural,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Sometimes,Rarely (less than 2 months),Worsened,No,"Yes, have a lot of control over my financial situation",Yes,"Yes, most of them"
59,Female,North,Musanze,Urban,No,No,No,No,No,Yes,No,No,No,Yes,No,No,,,Yes,Yes,No,Sometimes,On a monthly basis,Worsened,No,Have control over my financial Situation,No,"Yes, most of them"
