b1,b2,a1,a2,a6,qf1_01,qf1_02,qf1_03,qf1_04,qf1_05,qf1_06,qf1_07,qf1_08,qf1_09,qf1_10,qf1_11,qf1_12,qf4_01,qf4_05,qf4_06,l1,k1,e2c,e7,e9a,e9b,e1c,e2a,e2e
48,Male,Kigali,Kicukiro,Urban,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,,No,Yes,Always,Someties (more than 2 months past 2 months),Worsened,No,"Yes, have a lot of control over my financial situation",Yes,"Yes, most of them"
31,Female,East,Kirehe,Urban,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,Yes,No,Do not save,On a monthly basis,Worsened,No,Have some control over my financial Situation,No,Seldom
53,Female,South,Nyanza,Rural,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,,Yes,No,Yes,No,Sometimes,On a monthly basis,Worsened,No,Have control over my financial Situation,No,None of them
60,Male,East,Kayonza,Rural,No,No,No,No,No,Yes,No,No,No,Yes,No,No,,,No,Yes,No,Sometimes,Rarely (less than 2 months),Improved,No,"Yes, have a lot of control over my financial situation",No,"Yes, most of them"
41,Female,West,Rutsiro,Rural,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,,Yes,No,No,No,Sometimes,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",No,None of them
66,Male,West,Nyamasheke,Rural,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Sometimes,On a monthly basis,Worsened,No,Have control over my financial Situation,Yes,Some of them
42,Male,West,Nyamasheke,Urban,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,,Yes,No,Yes,Always,Rarely (less than 2 months),Improved,Yes,"Yes, have a lot of control over my financial situation",Yes,"Yes, most of them"
41,Female,South,Muhanga,Urban,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,,,Yes,Yes,Yes,Always,On a monthly basis,Improved,Yes,Have some control over my financial Situation,No,Some of them
73,Female,West,Rutsiro,Rural,No,No,No,No,No,Yes,No,No,No,No,No,No,,,No,No,No,Do not save,On a monthly basis,Remained the same,No,"Yes, have a lot of control over my financial situation",Yes,None of them
75,Female,Kigali,Kicukiro,Urban,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,Yes,No,Do not save,Someties (more than 2 months past 2 months),Worsened,No,Have no control over my financial situation,No,None of them
45,Male,East,Bugesera,Rural,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,,Yes,Yes,Always,On a monthly basis,Worsened,Yes,"Yes, have a lot of control over my financial situation",Yes,"Yes, most of them"
58,Female,South,Huye,Rural,No,No,No,No,Yes,No,No,No,No,Yes,No,No,,Yes,,Yes,No,Always,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",Yes,Seldom
54,Female,Kigali,Kicukiro,Urban,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Always,Rarely (less than 2 months),Improved,Yes,"Yes, have a lot of control over my financial situation",Yes,"Yes, most of them"
32,Male,East,Gatsibo,Rural,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,Yes,No,Do not save,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",No,Seldom
44,Male,West,Rutsiro,Urban,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,,Yes,No,Do not save,Rarely (less than 2 months),Worsened,Yes,"Yes, have a lot of control over my financial situation",No,Some of them
33,Male,East,Nyagatare,Urban,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,,Yes,Yes,Yes,No,Always,Someties (more than 2 months past 2 months),Improved,Yes,"Yes, have a lot of control over my financial situation",Yes,Seldom
41,Male,West,Rusizi,Rural,No,No,No,No,Yes,No,No,No,No,No,No,No,,Yes,,No,No,Do not save,Rarely (less than 2 months),Remained the same,No,"Yes, have a lot of control over my financial situation",No,None of them
43,Male,South,Ruhango,Urban,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,,Yes,No,Sometimes,Rarely (less than 2 months),Improved,No,"Yes, have a lot of control over my financial situation",Yes,Some of them
