geo,geo_type,province,residence,sex,value
Nyamasheke,District,Western Province,Urban,Male,5.2
Nyamasheke,District,Western Province,Urban,Female,6.9
Nyamasheke,District,Western Province,Rural,Male,7.4
Nyamasheke,District,Western Province,Rural,Female,9.1
Northern Province,Province,Northern Province,Rwanda,Male,6.2
Northern Province,Province,Northern Province,Rwanda,Female,8.3
Northern Province,Province,Northern Province,Urban,Male,4.0
Northern Province,Province,Northern Province,Urban,Female,5.9
Northern Province,Province,Northern Province,Rural,Male,6.7
Northern Province,Province,Northern Province,Rural,Female,8.8
Rulindo,District,Northern Province,Rwanda,Male,6.6
Rulindo,District,Northern Province,Rwanda,Female,8.5
Rulindo,District,Northern Province,Urban,Male,3.3
Rulindo,District,Northern Province,Urban,Female,4.6
Rulindo,District,Northern Province,Rural,Male,6.9
Rulindo,District,Northern Province,Rural,Female,8.9
Gakenke,District,Northern Province,Rwanda,Male,7.6
Gakenke,District,Northern Province,Rwanda,Female,9.4
Gakenke,District,Northern Province,Urban,Male,5.6
Gakenke,District,Northern Province,Urban,Female,6.8
Gakenke,District,Northern Province,Rural,Male,7.7
Gakenke,District,Northern Province,Rural,Female,9.5
Musanze,District,Northern Province,Rwanda,Male,4.8
Musanze,District,Northern Province,Rwanda,Female,7.3
Musanze,District,Northern Province,Urban,Male,3.7
Musanze,District,Northern Province,Urban,Female,5.7
Musanze,District,Northern Province,Rural,Male,5.8
Musanze,District,Northern Province,Rural,Female,8.7
Burera,District,Northern Province,Rwanda,Male,5.7
Burera,District,Northern Province,Rwanda,Female,8.3
Burera,District,Northern Province,Urban,Male,5.3
Burera,District,Northern Province,Urban,Female,7.7
Burera,District,Northern Province,Rural,Male,5.7
Burera,District,Northern Province,Rural,Female,8.4
Gicumbi,District,Northern Province,Rwanda,Male,6.7
Gicumbi,District,Northern Province,Rwanda,Female,8.5
Gicumbi,District,Northern Province,Urban,Male,4.2
Gicumbi,District,Northern Province,Urban,Female,5.8
Gicumbi,District,Northern Province,Rural,Male,6.8
Gicumbi,District,Northern Province,Rural,Female,8.7
Eastern Province,Province,Eastern Province,Rwanda,Male,5.3
Eastern Province,Province,Eastern Province,Rwanda,Female,6.8
Eastern Province,Province,Eastern Province,Urban,Male,4.3
Eastern Province,Province,Eastern Province,Urban,Female,5.3
Eastern Province,Province,Eastern Province,Rural,Male,5.5
Eastern Province,Province,Eastern Province,Rural,Female,7.2
Rwamagana,District,Eastern Province,Rwanda,Male,5.0
Rwamagana,District,Eastern Province,Rwanda,Female,6.7
Rwamagana,District,Eastern Province,Urban,Male,4.5
Rwamagana,District,Eastern Province,Urban,Female,4.8
Rwamagana,District,Eastern Province,Rural,Male,5.3
Rwamagana,District,Eastern Province,Rural,Female,7.7
Nyagatare,District,Eastern Province,Rwanda,Male,5.1
Nyagatare,District,Eastern Province,Rwanda,Female,6.1
Nyagatare,District,Eastern Province,Urban,Male,4.1
Nyagatare,District,Eastern Province,Urban,Female,5.3
Nyagatare,District,Eastern Province,Rural,Male,5.4
Nyagatare,District,Eastern Province,Rural,Female,6.3
Gatsibo,District,Eastern Province,Rwanda,Male,5.5
Gatsibo,District,Eastern Province,Rwanda,Female,7.3
Gatsibo,District,Eastern Province,Urban,Male,4.0
Gatsibo,District,Eastern Province,Urban,Female,5.7
Gatsibo,District,Eastern Province,Rural,Male,5.7
Gatsibo,District,Eastern Province,Rural,Female,7.5
Kayonza,District,Eastern Province,Rwanda,Male,5.3
