sheet_index,sheet_name,file,n_rows,n_cols,title_cell
80,Table 80,sheet_080.csv,40,11,Table 80: Number and Percentage of private agricultural households by district and sex of hosehold head
81,Table 81,sheet_081.csv,39,7,Table 81: Percentage of private households practicing different types of agricultural activities by district 
82,Table 82,sheet_082.csv,38,15,Table 82: Percentage of households cultivating different types of crops by Province and District
83,Table 83,sheet_083.csv,38,15,Table 83: Number of private crop farming households cultivating different types of crops by district
84,Table 84,sheet_084.csv,38,10,Table 84: Percentage of crop farming households producing different types of vegetables by district
85,Table 85,sheet_085.csv,38,11,Table 85: % of private households rearing different types of livestock by District (urban and rural)
86,Table 86,sheet_086.csv,38,11,Table 86: Percentage of private households rearing different types of livestock by District (Urban) 
87,Table 87,sheet_087.csv,38,11,Table 87: Percentage of private households rearing different types of livestock by District (Rural) 
88,Table 88,sheet_088.csv,38,11,Table 88: Number of private households rearing different types of livestock by District
89,Table 89,sheet_089.csv,38,10,Table 89: Different types of livestock owned by the private households by District (Urban + Rural)
90,Table 90,sheet_090.csv,38,10,Table 90: Livestock owned by the private households by livestock type and District (Urban)
91,Table 91,sheet_091.csv,38,10,Table 91: Livestock owned by the private households by livestock type and District (Rural)
92,Table 92,sheet_092.csv,35,11,"Table 92: Evolution of the Rwanda’s population (in millions) by area of residence, 2022-2052"
93,Table 93,sheet_093.csv,33,8,"Table 93: Evolution of the population density by residence (medium projection), 2022-2052"
94,Table 94,sheet_094.csv,53,7,"Table 94: Changes in key fertility indicators by projection scenario, 2022-2052"
95,Table 95,sheet_095.csv,53,7,"Table 95: Evolution of key mortality indicators by projection scenario, 2022-2052"
96,Table 96,sheet_096.csv,42,8,Table 96: City of Kigali population distribution by district and sector
97,Table 97,sheet_097.csv,113,8,Table 97: Southern Province population distribution by district and sector
98,Table 98,sheet_098.csv,107,8,Table 98: Western Province population distribution by district and sector
99,Table 99,sheet_099.csv,98,8,Table 99: Northern Province population distribution by district and sector
100,Table 100,sheet_100.csv,106,8,Table 100: Eastern Province population distribution by district and sector
