indicator,geo,geo_type,province,residence,sex,value
Youth share of population (%),Huye,District,Southern Province,Urban,Female,30.8
Youth share of population (%),Huye,District,Southern Province,Rural,Both sexes,23.3
Youth share of population (%),Huye,District,Southern Province,Rural,Male,24.5
Youth share of population (%),Huye,District,Southern Province,Rural,Female,22.2
Youth share of population (%),Nyamagabe,District,Southern Province,Rwanda,Both sexes,26.8
Youth share of population (%),Nyamagabe,District,Southern Province,Rwanda,Male,27.8
Youth share of population (%),Nyamagabe,District,Southern Province,Rwanda,Female,26.0
Youth share of population (%),Nyamagabe,District,Southern Province,Urban,Both sexes,29.7
Youth share of population (%),Nyamagabe,District,Southern Province,Urban,Male,29.8
Youth share of population (%),Nyamagabe,District,Southern Province,Urban,Female,29.6
Youth share of population (%),Nyamagabe,District,Southern Province,Rural,Both sexes,26.5
Youth share of population (%),Nyamagabe,District,Southern Province,Rural,Male,27.6
Youth share of population (%),Nyamagabe,District,Southern Province,Rural,Female,25.5
Youth share of population (%),Ruhango,District,Southern Province,Rwanda,Both sexes,23.9
Youth share of population (%),Ruhango,District,Southern Province,Rwanda,Male,24.5
Youth share of population (%),Ruhango,District,Southern Province,Rwanda,Female,23.3
Youth share of population (%),Ruhango,District,Southern Province,Urban,Both sexes,27.3
Youth share of population (%),Ruhango,District,Southern Province,Urban,Male,26.3
Youth share of population (%),Ruhango,District,Southern Province,Urban,Female,28.2
Youth share of population (%),Ruhango,District,Southern Province,Rural,Both sexes,23.4
Youth share of population (%),Ruhango,District,Southern Province,Rural,Male,24.3
Youth share of population (%),Ruhango,District,Southern Province,Rural,Female,22.7
Youth share of population (%),Muhanga,District,Southern Province,Rwanda,Both sexes,25.3
Youth share of population (%),Muhanga,District,Southern Province,Rwanda,Male,25.8
Youth share of population (%),Muhanga,District,Southern Province,Rwanda,Female,24.9
Youth share of population (%),Muhanga,District,Southern Province,Urban,Both sexes,30.6
Youth share of population (%),Muhanga,District,Southern Province,Urban,Male,30.1
Youth share of population (%),Muhanga,District,Southern Province,Urban,Female,31.1
Youth share of population (%),Muhanga,District,Southern Province,Rural,Both sexes,23.7
Youth share of population (%),Muhanga,District,Southern Province,Rural,Male,24.4
Youth share of population (%),Muhanga,District,Southern Province,Rural,Female,23.0
Youth share of population (%),Kamonyi,District,Southern Province,Rwanda,Both sexes,24.8
Youth share of population (%),Kamonyi,District,Southern Province,Rwanda,Male,25.0
Youth share of population (%),Kamonyi,District,Southern Province,Rwanda,Female,24.7
Youth share of population (%),Kamonyi,District,Southern Province,Urban,Both sexes,27.8
Youth share of population (%),Kamonyi,District,Southern Province,Urban,Male,27.0
Youth share of population (%),Kamonyi,District,Southern Province,Urban,Female,28.7
Youth share of population (%),Kamonyi,District,Southern Province,Rural,Both sexes,23.4
Youth share of population (%),Kamonyi,District,Southern Province,Rural,Male,24.1
Youth share of population (%),Kamonyi,District,Southern Province,Rural,Female,22.8
Youth share of population (%),Western Province,Province,Western Province,Rwanda,Both sexes,26.2
Youth share of population (%),Western Province,Province,Western Province,Rwanda,Male,26.6
Youth share of population (%),Western Province,Province,Western Province,Rwanda,Female,25.7
Youth share of population (%),Western Province,Province,Western Province,Urban,Both sexes,28.4
Youth share of population (%),Western Province,Province,Western Province,Urban,Male,28.2
Youth share of population (%),Western Province,Province,Western Province,Urban,Female,28.7
Youth share of population (%),Western Province,Province,Western Province,Rural,Both sexes,25.5
Youth share of population (%),Western Province,Province,Western Province,Rural,Male,26.2
Youth share of population (%),Western Province,Province,Western Province,Rural,Female,24.9
Youth share of population (%),Karongi,District,Western Province,Rwanda,Both sexes,25.4
Youth share of population (%),Karongi,District,Western Province,Rwanda,Male,26.1
Youth share of population (%),Karongi,District,Western Province,Rwanda,Female,24.7
Youth share of population (%),Karongi,District,Western Province,Urban,Both sexes,29.2
Youth share of population (%),Karongi,District,Western Province,Urban,Male,28.4
Youth share of population (%),Karongi,District,Western Province,Urban,Female,29.9
Youth share of population (%),Karongi,District,Western Province,Rural,Both sexes,25.0
Youth share of population (%),Karongi,District,Western Province,Rural,Male,25.8
Youth share of population (%),Karongi,District,Western Province,Rural,Female,24.2
Youth share of population (%),Rutsiro,District,Western Province,Rwanda,Both sexes,27.0
