age_group,province,residence,sex,value
Population 10 years and above,City of Kigali,Urban,Female,40.0
Population 10 years and above,City of Kigali,Rural,Male,13.3
Population 10 years and above,City of Kigali,Rural,Female,8.3
Population 10 years and above,Southern Province,Rwanda,Male,10.7
Population 10 years and above,Southern Province,Rwanda,Female,7.6
Population 10 years and above,Southern Province,Urban,Male,31.9
Population 10 years and above,Southern Province,Urban,Female,25.6
Population 10 years and above,Southern Province,Rural,Male,7.1
Population 10 years and above,Southern Province,Rural,Female,4.6
Population 10 years and above,Western Province,Rwanda,Male,11.7
Population 10 years and above,Western Province,Rwanda,Female,6.9
Population 10 years and above,Western Province,Urban,Male,26.0
Population 10 years and above,Western Province,Urban,Female,18.0
Population 10 years and above,Western Province,Rural,Male,7.5
Population 10 years and above,Western Province,Rural,Female,3.9
Population 10 years and above,Northern Province,Rwanda,Male,11.8
Population 10 years and above,Northern Province,Rwanda,Female,7.3
Population 10 years and above,Northern Province,Urban,Male,28.9
Population 10 years and above,Northern Province,Urban,Female,21.0
Population 10 years and above,Northern Province,Rural,Male,8.2
Population 10 years and above,Northern Province,Rural,Female,4.5
Population 10 years and above,Eastern Province,Rwanda,Male,12.6
Population 10 years and above,Eastern Province,Rwanda,Female,7.9
Population 10 years and above,Eastern Province,Urban,Male,26.7
Population 10 years and above,Eastern Province,Urban,Female,19.7
Population 10 years and above,Eastern Province,Rural,Male,9.0
Population 10 years and above,Eastern Province,Rural,Female,4.9
Population 16 years and above,Total,Rwanda,Male,19.9
Population 16 years and above,Total,Rwanda,Female,12.9
Population 16 years and above,Total,Urban,Male,42.5
Population 16 years and above,Total,Urban,Female,32.3
Population 16 years and above,Total,Rural,Male,10.0
Population 16 years and above,Total,Rural,Female,5.2
Population 16 years and above,City of Kigali,Rwanda,Male,49.5
Population 16 years and above,City of Kigali,Rwanda,Female,40.1
Population 16 years and above,City of Kigali,Urban,Male,53.4
Population 16 years and above,City of Kigali,Urban,Female,44.0
Population 16 years and above,City of Kigali,Rural,Male,16.2
Population 16 years and above,City of Kigali,Rural,Female,9.7
Population 16 years and above,Southern Province,Rwanda,Male,12.9
Population 16 years and above,Southern Province,Rwanda,Female,8.7
Population 16 years and above,Southern Province,Urban,Male,36.8
Population 16 years and above,Southern Province,Urban,Female,28.9
