Table 17: Primary and secondary age population and corresponding number of students,,,,,,,,,,
,Primary age and students,,,,,,,,,
,Area of residence,Primary age population (6-11 year old) ,,,Those in primary(All ages),,,Those in primary(6-11 years old),,
,,Total,Male,Female,Total,Male,Female,Total,Male,Female
,Total,1937762,970363,967399,2746382,1378058,1368324,1731047,857338,873709
,Urban,479935,240465,239470,655041,328813,326228,439532,218862,220670
,Rural,1457827,729898,727929,2091341,1049245,1042096,1291515,638476,653039
,Secondary age and students,,,,,,,,,
,Area of residence,Secondary age(12-17 year old) ,,,Those in secondary (All ages),,,Those in secondary (12-17 years old),,
,,Total,Male,Female,Total,Male,Female,Total,Male,Female
,Total,1886896,940635,946261,753522,339171,414351,421672,177259,244413
,Urban,448430,213891,234539,269460,126411,143049,149632,67007,82625
,Rural,1438466,726744,711722,484062,212760,271302,272040,110252,161788
