0,1,2,3,4,5,6,7
Table 30: Lifetime migration matrix by Province[1],,,,,,,
, Province of origin,Province of residence (Destination),,,,,Out-migrants
,,City of Kigali,Southern ,West,North,East,
,City of Kigali,124653,50570,16165,29967,119945,216647
,South,302637,242842,27778,20811,194515,545741
,West,195767,78715,144324,42763,176419,493664
,North,105232,16457,19971,65046,302591,444251
,East,122483,23677,10610,19268,249953,176038
,Foreign born,109596,37078,48834,16739,154547,366794
,Not stated,769,869,699,395,945,3677
,In-migrants,835715,206497,123358,129548,948017,
,[1] This table includes Rwandan native and foreign born,,,,,,
