0,1,2,3,4,5,6,7,8,9,10
Table 20: Number and % of the population who used internet by province and age groups,,,,,,,,,,
, Province/Age group,Total,,,Urban,,,Rural,,
,,Total,Male,Female,Total,Male,Female,Total,Male,Female
,Counts ,,,,,,,,,
,Population 10 years and above,,,,,,,,,
,Total,1291248,737338,553910,870913,481380,389533,420335,255958,164377
,City of Kigali,523069,291315,231754,506778,281446,225332,16291,9869,6422
,Southern Province,194328,107750,86578,87666,46237,41429,106662,61513,45149
,Western Province,184593,109470,75123,97488,55086,42402,87105,54384,32721
,Northern Province,137493,80538,56955,62254,34068,28186,75239,46470,28769
,Eastern Province,251765,148265,103500,116727,64543,52184,135038,83722,51316
,Population 16 years and above,,,,,,,,,
,Total,1227682,706320,521362,830186,460966,369220,397496,245354,152142
,City of Kigali,499111,279225,219886,483583,269742,213841,15528,9483,6045
,Southern Province,183010,102395,80615,83254,44030,39224,99756,58365,41391
,Western Province,175542,105121,70421,92697,52694,40003,82845,52427,30418
,Northern Province,130399,77199,53200,59339,32634,26705,71060,44565,26495
,Eastern Province,239620,142380,97240,111313,61866,49447,128307,80514,47793
,Population 21 years and above,,,,,,,,,
,    Total,1039154,605234,433920,723092,405301,317791,316062,199933,116129
,    City of Kigali,439222,248070,191152,426314,240061,186253,12908,8009,4899
,Southern Province,150611,85523,65088,72170,38428,33742,78441,47095,31346
,Western Province,145213,88515,56698,78187,45014,33173,67026,43501,23525
,Northern Province,108384,65276,43108,51133,28386,22747,57251,36890,20361
,Eastern Province,195724,117850,77874,95288,53412,41876,100436,64438,35998
,Percentages,,,,,,,,,
,Population 10 years and above,,,,,,,,,
,Total,13.7,16.6,11.2,32.8,37.2,28.6,6.2,8.1,4.6
,City of Kigali,40.4,44.6,36.2,44.4,48.6,40,10.7,13.3,8.3
,Southern Province,9.1,10.7,7.6,28.6,31.9,25.6,5.8,7.1,4.6
,Western Province,9.1,11.7,6.9,21.8,26,18,5.5,7.5,3.9
,Northern Province,9.4,11.8,7.3,24.7,28.9,21,6.2,8.2,4.5
,Eastern Province,10.1,12.6,7.9,23,26.7,19.7,6.8,9,4.9
,Population 16 years and above,,,,,,,,,
,    Total,16.2,19.9,12.9,37.3,42.5,32.3,7.4,10,5.2
,City of Kigali,44.9,49.5,40.1,48.8,53.4,44,12.9,16.2,9.7
,Southern Province,10.6,12.9,8.7,32.6,36.8,28.9,6.8,8.7,5.2
,Western Province,11,14.5,8.1,25.9,31.4,21,6.7,9.4,4.5
,Northern Province,10.9,14.1,8.2,28.4,33.7,23.7,7.2,9.9,5
,Eastern Province,12.2,15.5,9.3,26.9,31.6,22.7,8.2,11.1,5.7
,Population 21 years and above,,,,,,,,,
,Total,16.9,21.3,13.1,39.4,44.9,34.2,7.3,10.3,4.9
,City of Kigali,47.1,51.5,42.5,51.2,55.3,46.7,13,16.9,9.5
,Southern Province,10.8,13.6,8.4,34.7,39.4,30.6,6.6,8.9,4.7
,Western Province,11.3,15.5,8,27.2,33.8,21.6,6.7,10,4.2
,Northern Province,11.3,15,8.2,30.1,36.2,24.9,7.2,10.4,4.7
,Eastern Province,12.4,16.2,9.1,28.4,33.5,23.7,8.1,11.4,5.3
