0,1,2,3,4,5,6,7,8,9,10
Table 5: Five-years age group by sex distribution (Counts) by Area of residence,,,,,,,,,,
, Age ,Rwanda,,,Urban,,,Rural,,
,group,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female
,Total,13246394,6429326,6817068,3701245,1854525,1846720,9545149,4574801,4970348
,0-4,1708460,856228,852232,476206,238913,237293,1232254,617315,614939
, 5-9,1697005,849389,847616,431408,216386,215022,1265597,633003,632594
, 10-14,1551347,775772,775575,360474,178399,182075,1190873,597373,593500
,15-19,1509341,750163,759178,392964,183178,209786,1116377,566985,549392
,20-24,1174549,572543,602006,392928,192193,200735,781621,380350,401271
,25-29,1007307,494594,512713,371753,189192,182561,635554,305402,330152
,30-34,950747,465744,485003,345484,178965,166519,605263,286779,318484
,35-39,869983,425313,444670,274836,147185,127651,595147,278128,317019
,40-44,724954,346800,378154,211344,113177,98167,513610,233623,279987
,45-49,479255,215314,263941,128894,66456,62438,350361,148858,201503
,50-54,393788,178670,215118,94326,49237,45089,299462,129433,170029
,55-59,316729,142329,174400,66666,33937,32729,250063,108392,141671
,60-64,311001,136793,174208,57188,27532,29656,253813,109261,144552
,65-69,214001,92098,121903,37154,17061,20093,176847,75037,101810
,70-74,147138,60277,86861,25366,10826,14540,121772,49451,72321
,75-79,77805,28476,49329,13760,5071,8689,64045,23405,40640
,80-84,57999,20408,37591,10240,3628,6612,47759,16780,30979
,85+,54985,18415,36570,10254,3189,7065,44731,15226,29505
