0,1,2,3,4,5,6,7
Table 7: Resident population by religious affiliation and residence,,,,,,,
,Religion,Count,,,Percentage,,
,,Rwanda,Urban,Rural,Rwanda,Urban,Rural
,Total,13246394,3701245,9545149,100,27.9,72.1
,Catholic,5286003,1311625,3974378,39.9,9.9,30
,ADEPR,2820813,904788,1916025,21.3,6.8,14.5
,Protestant,1928741,379825,1548916,14.6,2.9,11.7
,Adventist,1612482,449808,1162674,12.2,3.4,8.8
,Other Christians,553174,239900,313274,4.2,1.8,2.4
,Muslim,265317,164304,101013,2,1.2,0.8
,Jehovah witness,93131,36554,56577,0.7,0.3,0.4
,Traditional/Animist,2112,878,1234,0,0,0
,Other religion,264319,102245,162074,2,0.8,1.2
,No Religion,402517,104832,297685,3,0.8,2.2
,Not stated/Don't know,17785,6486,11299,0.1,0,0.1
