0,1,2,3,4,5,6,7,8,9,10
"Table 49: Number of elderly by sex by province, district and residence",,,,,,,,,,
,Province/District,Total,,,Urban,,,Rural,,
,,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female
,Rwanda,862929,356467,506462,153962,67307,86655,708967,289160,419807
,City of Kigali,54778,24028,30750,41625,18354,23271,13153,5674,7479
,Nyarugenge,12513,5783,6730,9408,4185,5223,3105,1598,1507
,Gasabo,27947,11999,15948,18205,8069,10136,9742,3930,5812
,Kicukiro,14318,6246,8072,14012,6100,7912,306,146,160
,Southern Province,243644,99590,144054,27166,12710,14456,216478,86880,129598
,Nyanza,30113,13024,17089,2016,731,1285,28097,12293,15804
,Gisagara,30070,11094,18976,1015,354,661,29055,10740,18315
,Nyaruguru,26117,10652,15465,483,203,280,25634,10449,15185
,Huye,32578,13931,18647,6456,4388,2068,26122,9543,16579
,Nyamagabe,31305,12739,18566,3038,1152,1886,28267,11587,16680
,Ruhango,30236,11906,18330,2549,1002,1547,27687,10904,16783
,Muhanga,30303,12891,17412,4344,2029,2315,25959,10862,15097
,Kamonyi,32922,13353,19569,7265,2851,4414,25657,10502,15155
,Western Province,199206,81166,118040,31779,13210,18569,167427,67956,99471
,Karongi,29661,11856,17805,1549,591,958,28112,11265,16847
,Rutsiro,25483,10336,15147,1397,578,819,24086,9758,14328
,Rubavu,26320,10940,15380,12201,4817,7384,14119,6123,7996
,Nyabihu,19969,7366,12603,4353,1629,2724,15616,5737,9879
,Ngororero,26569,10283,16286,929,359,570,25640,9924,15716
,Rusizi,35924,15669,20255,9317,4389,4928,26607,11280,15327
,Nyamasheke,35280,14716,20564,2033,847,1186,33247,13869,19378
,Northern Province,148854,60168,88686,17513,6772,10741,131341,53396,77945
,Rulindo,27210,11272,15938,1517,615,902,25693,10657,15036
,Gakenke,31130,13107,18023,921,395,526,30209,12712,17497
,Musanze,28999,10887,18112,11135,4211,6924,17864,6676,11188
,Burera,27388,10508,16880,2533,983,1550,24855,9525,15330
,Gicumbi,34127,14394,19733,1407,568,839,32720,13826,18894
,Eastern Province,216447,91515,124932,35879,16261,19618,180568,75254,105314
,Rwamagana,28317,12142,16175,8321,4353,3968,19996,7789,12207
,Nyagatare,36592,16128,20464,7462,3164,4298,29130,12964,16166
,Gatsibo,35554,14526,21028,2692,1077,1615,32862,13449,19413
,Kayonza,27779,11743,16036,2999,1158,1841,24780,10585,14195
,Kirehe,29357,12471,16886,1584,673,911,27773,11798,15975
,Ngoma,28207,11601,16606,2311,938,1373,25896,10663,15233
,Bugesera,30641,12904,17737,10510,4898,5612,20131,8006,12125
