0,1,2,3,4,5,6,7,8,9,10
"Table 38: Children (aged 0-17 years) by sex, Province, District and residence",,,,,,,,,,
,Province/,Total,,,Urban,,,Rural,,
,,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female
,Rwanda,5896601,2949970,2946631,1499628,741385,758243,4396973,2208585,2188388
,CoK,661643,326711,334932,560713,275860,284853,100930,50851,50079
,Nyarugenge,138225,68330,69895,116910,57609,59301,21315,10721,10594
,Gasabo,347280,171637,175643,269712,132526,137186,77568,39111,38457
,Kicukiro,176138,86744,89394,174091,85725,88366,2047,1019,1028
,Southern Province,1333748,671501,662247,176467,87068,89399,1157281,584433,572848
,Nyanza,165295,83666,81629,14173,7034,7139,151122,76632,74490
,Gisagara,187561,94851,92710,5874,2936,2938,181687,91915,89772
,Nyaruguru,150845,75559,75286,3392,1716,1676,147453,73843,73610
,Huye,163147,81978,81169,26448,12954,13494,136699,69024,67675
,Nyamagabe,162306,81352,80954,16951,8491,8460,145355,72861,72494
,Ruhango,159596,81102,78494,16397,8196,8201,143199,72906,70293
,Muhanga,148152,74180,73972,32711,15841,16870,115441,58339,57102
,Kamonyi,196846,98813,98033,60521,29900,30621,136325,68913,67412
,Western Province,1355679,678057,677622,293594,146504,147090,1062085,531553,530532
,Karongi,169836,85673,84163,14189,7181,7008,155647,78492,77155
,Rutsiro,170346,85298,85048,9284,4606,4678,161062,80692,80370
,Rubavu,259556,128906,130650,137012,67878,69134,122544,61028,61516
,Nyabihu,148253,73992,74261,35767,17910,17857,112486,56082,56404
,Ngororero,172567,85715,86852,7688,3838,3850,164879,81877,83002
,Rusizi,229264,115440,113824,74425,37452,36973,154839,77988,76851
,Nyamasheke,205857,103033,102824,15229,7639,7590,190628,95394,95234
,Northern Province,888804,442443,446361,148180,73125,75055,740624,369318,371306
,Rulindo,156254,78031,78223,17068,8459,8609,139186,69572,69614
,Gakenke,155697,77817,77880,5654,2732,2922,150043,75085,74958
,Musanze,206471,102243,104228,97427,48101,49326,109044,54142,54902
,Burera,175346,87118,88228,16492,8118,8374,158854,79000,79854
,Gicumbi,195036,97234,97802,11539,5715,5824,183497,91519,91978
,Eastern Province,1656727,831258,825469,320674,158828,161846,1336053,672430,663623
,Rwamagana,210913,105321,105592,70126,34505,35621,140787,70816,69971
,Nyagatare,311749,156864,154885,73305,36452,36853,238444,120412,118032
,Gatsibo,258449,129078,129371,24669,12294,12375,233780,116784,116996
,Kayonza,214599,108080,106519,28562,14321,14241,186037,93759,92278
,Kirehe,215326,107990,107336,12559,6119,6440,202767,101871,100896
,Ngoma,188051,94808,93243,15454,7681,7773,172597,87127,85470
,Bugesera,257640,129117,128523,95999,47456,48543,161641,81661,79980
