group,year,sex,count,pct,level
Pupils in Public schools,2019,Female,402157.0,,Primary
Pupils in Public schools,2020/21,Male,534244.0,,Primary
Pupils in Public schools,2020/21,Female,529373.0,,Primary
Pupils in Public schools,2021/22,Male,553802.0,,Primary
Pupils in Public schools,2021/22,Female,543651.0,,Primary
Pupils in Public schools,2022/23,Male,582517.0,,Primary
Pupils in Public schools,2022/23,Female,561330.0,,Primary
Pupils in Government-subsidized schools,2017,Male,825558.0,,Primary
Pupils in Government-subsidized schools,2017,Female,821940.0,,Primary
Pupils in Government-subsidized schools,2018,Male,810129.0,,Primary
Pupils in Government-subsidized schools,2018,Female,799342.0,,Primary
Pupils in Government-subsidized schools,2019,Male,804421.0,,Primary
Pupils in Government-subsidized schools,2019,Female,787721.0,,Primary
Pupils in Government-subsidized schools,2020/21,Male,768918.0,,Primary
Pupils in Government-subsidized schools,2020/21,Female,763542.0,,Primary
Pupils in Government-subsidized schools,2021/22,Male,761619.0,,Primary
Pupils in Government-subsidized schools,2021/22,Female,746137.0,,Primary
Pupils in Government-subsidized schools,2022/23,Male,783814.0,,Primary
Pupils in Government-subsidized schools,2022/23,Female,753945.0,,Primary
Pupils in Private schools,2017,Male,48382.0,,Primary
Pupils in Private schools,2017,Female,47595.0,,Primary
Pupils in Private schools,2018,Male,51962.0,,Primary
Pupils in Private schools,2018,Female,51366.0,,Primary
Pupils in Private schools,2019,Male,54655.0,,Primary
Pupils in Private schools,2019,Female,53591.0,,Primary
Pupils in Private schools,2020/21,Male,66860.0,,Primary
Pupils in Private schools,2020/21,Female,66179.0,,Primary
Pupils in Private schools,2021/22,Male,68911.0,,Primary
Pupils in Private schools,2021/22,Female,68431.0,,Primary
Pupils in Private schools,2022/23,Male,79081.0,,Primary
Pupils in Private schools,2022/23,Female,77656.0,,Primary
Total Lower secondary Students,2017,Male,176797.0,0.462,Lower Secondary
Total Lower secondary Students,2017,Female,205864.0,0.538,Lower Secondary
Total Lower secondary Students,2018,Male,194314.0,0.46,Lower Secondary
Total Lower secondary Students,2018,Female,227779.0,0.54,Lower Secondary
Total Lower secondary Students,2019,Male,219915.0,0.457,Lower Secondary
Total Lower secondary Students,2019,Female,261223.0,0.543,Lower Secondary
Total Lower secondary Students,2020/21,Male,239474.0,0.459,Lower Secondary
Total Lower secondary Students,2020/21,Female,282157.0,0.541,Lower Secondary
Total Lower secondary Students,2021/22,Male,245840.0,0.455,Lower Secondary
Total Lower secondary Students,2021/22,Female,294794.0,0.545,Lower Secondary
Total Lower secondary Students,2022/23,Male,243281.0,0.454,Lower Secondary
Total Lower secondary Students,2022/23,Female,293146.0,0.546,Lower Secondary
Students in Public schools,2017,Male,58857.0,,Lower Secondary
Students in Public schools,2017,Female,66196.0,,Lower Secondary
Students in Public schools,2018,Male,64617.0,,Lower Secondary
Students in Public schools,2018,Female,73865.0,,Lower Secondary
Students in Public schools,2019,Male,74384.0,,Lower Secondary
Students in Public schools,2019,Female,85650.0,,Lower Secondary
Students in Public schools,2020/21,Male,88199.0,,Lower Secondary
Students in Public schools,2020/21,Female,101889.0,,Lower Secondary
Students in Public schools,2021/22,Male,91989.0,,Lower Secondary
Students in Public schools,2021/22,Female,107260.0,,Lower Secondary
Students in Public schools,2022/23,Male,94524.0,,Lower Secondary
Students in Public schools,2022/23,Female,110742.0,,Lower Secondary
Students in Government-subsidized schools,2017,Male,104640.0,,Lower Secondary
Students in Government-subsidized schools,2017,Female,128234.0,,Lower Secondary
Students in Government-subsidized schools,2018,Male,116232.0,,Lower Secondary
Students in Government-subsidized schools,2018,Female,142428.0,,Lower Secondary
Students in Government-subsidized schools,2019,Male,131872.0,,Lower Secondary
Students in Government-subsidized schools,2019,Female,164080.0,,Lower Secondary
Students in Government-subsidized schools,2020/21,Male,136416.0,,Lower Secondary
Students in Government-subsidized schools,2020/21,Female,167648.0,,Lower Secondary
Students in Government-subsidized schools,2021/22,Male,139144.0,,Lower Secondary
Students in Government-subsidized schools,2021/22,Female,174593.0,,Lower Secondary
Students in Government-subsidized schools,2022/23,Male,136086.0,,Lower Secondary
Students in Government-subsidized schools,2022/23,Female,171254.0,,Lower Secondary
Students in Private schools,2017,Male,13300.0,,Lower Secondary
Students in Private schools,2017,Female,11434.0,,Lower Secondary
Students in Private schools,2018,Male,13465.0,,Lower Secondary
Students in Private schools,2018,Female,11486.0,,Lower Secondary
Students in Private schools,2019,Male,13659.0,,Lower Secondary
Students in Private schools,2019,Female,11493.0,,Lower Secondary
Students in Private schools,2020/21,Male,14859.0,,Lower Secondary
Students in Private schools,2020/21,Female,12620.0,,Lower Secondary
Students in Private schools,2021/22,Male,14707.0,,Lower Secondary
Students in Private schools,2021/22,Female,12941.0,,Lower Secondary
Students in Private schools,2022/23,Male,12671.0,,Lower Secondary
Students in Private schools,2022/23,Female,11150.0,,Lower Secondary
Total Students,2017,Male,66248.0,0.445,Upper Secondary
Total Students,2017,Female,82468.0,0.555,Upper Secondary
Total Students,2018,Male,70468.0,0.449,Upper Secondary
Total Students,2018,Female,86336.0,0.551,Upper Secondary
Total Students,2019,Male,75203.0,0.448,Upper Secondary
Total Students,2019,Female,92606.0,0.552,Upper Secondary
Total Students,2020/21,Male,76222.0,0.443,Upper Secondary
Total Students,2020/21,Female,95772.0,0.557,Upper Secondary
Total Students,2021/22,Male,79198.0,0.418,Upper Secondary
Total Students,2021/22,Female,110462.0,0.582,Upper Secondary
Total Students,2022/23,Male,78699.0,0.407,Upper Secondary
Total Students,2022/23,Female,114872.0,0.593,Upper Secondary
Students in Public schools,2017,Male,23292.0,,Upper Secondary
Students in Public schools,2017,Female,25972.0,,Upper Secondary
