grade,sex,year,value,metric
S3,Female,2017/18,0.861,Promotion Rate
S3,Female,2018/19,0.863,Promotion Rate
S3,Female,2019/20,0.78,Promotion Rate
S3,Female,2020/21,0.696,Promotion Rate
S3,Female,2021/22,0.566,Promotion Rate
S5,Total,2016/17,0.93,Promotion Rate
S5,Total,2017/18,0.943,Promotion Rate
S5,Total,2018/19,0.909,Promotion Rate
S5,Total,2019/20,0.848,Promotion Rate
S5,Total,2020/21,0.863,Promotion Rate
S5,Total,2021/22,0.906,Promotion Rate
S5,Male,2016/17,0.94,Promotion Rate
S5,Male,2017/18,0.947,Promotion Rate
S5,Male,2018/19,0.91,Promotion Rate
S5,Male,2019/20,0.859,Promotion Rate
S5,Male,2020/21,0.857,Promotion Rate
S5,Male,2021/22,0.899,Promotion Rate
S5,Female,2016/17,0.919,Promotion Rate
S5,Female,2017/18,0.94,Promotion Rate
S5,Female,2018/19,0.907,Promotion Rate
S5,Female,2019/20,0.839,Promotion Rate
S5,Female,2020/21,0.869,Promotion Rate
S5,Female,2021/22,0.912,Promotion Rate
S6,Total,2016/17,0.96,Promotion Rate
S6,Total,2017/18,0.968,Promotion Rate
S6,Total,2018/19,0.946,Promotion Rate
S6,Total,2019/20,0.899,Promotion Rate
S6,Total,2020/21,0.93,Promotion Rate
S6,Total,2021/22,0.876,Promotion Rate
S6,Male,2016/17,0.97,Promotion Rate
S6,Male,2017/18,0.968,Promotion Rate
S6,Male,2018/19,0.956,Promotion Rate
S6,Male,2019/20,0.905,Promotion Rate
S6,Male,2020/21,0.943,Promotion Rate
S6,Male,2021/22,0.883,Promotion Rate
S6,Female,2016/17,0.949,Promotion Rate
S6,Female,2017/18,0.968,Promotion Rate
S6,Female,2018/19,0.937,Promotion Rate
S6,Female,2019/20,0.894,Promotion Rate
S6,Female,2020/21,0.919,Promotion Rate
S6,Female,2021/22,0.87,Promotion Rate
P1,Total,2016/17,0.216,Repetition Rate
P1,Total,2017/18,0.205,Repetition Rate
P1,Total,2018/19,0.15,Repetition Rate
P1,Total,2019/20,0.16,Repetition Rate
P1,Total,2020/21,0.298,Repetition Rate
P1,Total,2021/22,0.362,Repetition Rate
P1,Male,2016/17,0.222,Repetition Rate
P1,Male,2017/18,0.214,Repetition Rate
P1,Male,2018/19,0.157,Repetition Rate
