group,year,sex,count,pct,level
Net Enrolment Rate (Overall),2018,Male,0.242,,Lower Secondary
Net Enrolment Rate (Overall),2018,Female,0.302,,Lower Secondary
Net Enrolment Rate (Overall),2019,Male,0.277,,Lower Secondary
Net Enrolment Rate (Overall),2019,Female,0.353,,Lower Secondary
Net Enrolment Rate (Overall),2020/21,Male,0.289,,Lower Secondary
Net Enrolment Rate (Overall),2020/21,Female,0.337,,Lower Secondary
Net Enrolment Rate (Overall),2021/22,Male,0.186,,Lower Secondary
Net Enrolment Rate (Overall),2021/22,Female,0.266,,Lower Secondary
Net Enrolment Rate (Overall),2022/23,Male,0.202,,Lower Secondary
Net Enrolment Rate (Overall),2022/23,Female,0.285,,Lower Secondary
Gross Enrolment Rate (Overall),2017,Male,0.299,,Upper Secondary
Gross Enrolment Rate (Overall),2017,Female,0.313,,Upper Secondary
Gross Enrolment Rate (Overall),2018,Male,0.298,,Upper Secondary
Gross Enrolment Rate (Overall),2018,Female,0.31,,Upper Secondary
Gross Enrolment Rate (Overall),2019,Male,0.303,,Upper Secondary
Gross Enrolment Rate (Overall),2019,Female,0.314,,Upper Secondary
Gross Enrolment Rate (Overall),2020/21,Male,0.283,,Upper Secondary
Gross Enrolment Rate (Overall),2020/21,Female,0.31,,Upper Secondary
Gross Enrolment Rate (Overall),2021/22,Male,0.266,,Upper Secondary
Gross Enrolment Rate (Overall),2021/22,Female,0.3,,Upper Secondary
Gross Enrolment Rate (Overall),2022/23,Male,0.283,,Upper Secondary
Gross Enrolment Rate (Overall),2022/23,Female,0.326,,Upper Secondary
Net Enrolment Rate (Overall),2017,Male,0.229,,Upper Secondary
Net Enrolment Rate (Overall),2017,Female,0.246,,Upper Secondary
Net Enrolment Rate (Overall),2018,Male,0.207,,Upper Secondary
Net Enrolment Rate (Overall),2018,Female,0.232,,Upper Secondary
Net Enrolment Rate (Overall),2019,Male,0.158,,Upper Secondary
Net Enrolment Rate (Overall),2019,Female,0.172,,Upper Secondary
Net Enrolment Rate (Overall),2020/21,Male,0.126,,Upper Secondary
Net Enrolment Rate (Overall),2020/21,Female,0.148,,Upper Secondary
Net Enrolment Rate (Overall),2021/22,Male,0.089,,Upper Secondary
Net Enrolment Rate (Overall),2021/22,Female,0.123,,Upper Secondary
Net Enrolment Rate (Overall),2022/23,Male,0.101,,Upper Secondary
Net Enrolment Rate (Overall),2022/23,Female,0.142,,Upper Secondary
