group,year,sex,count,pct,level
Passed the exam,2021,Female,22170.0,,S6 (Upper Secondary)
Passed the exam,2022,Male,20840.0,,S6 (Upper Secondary)
Passed the exam,2022,Female,23978.0,,S6 (Upper Secondary)
Passed the exam,2023,Male,20531.0,,S6 (Upper Secondary)
Passed the exam,2023,Female,25519.0,,S6 (Upper Secondary)
National exams pass rate,2017,Male,0.932,,S6 (Upper Secondary)
National exams pass rate,2017,Female,0.866,,S6 (Upper Secondary)
National exams pass rate,2018,Male,0.919,,S6 (Upper Secondary)
National exams pass rate,2018,Female,0.828,,S6 (Upper Secondary)
National exams pass rate,2019,Male,0.933,,S6 (Upper Secondary)
National exams pass rate,2019,Female,0.866,,S6 (Upper Secondary)
National exams pass rate,2021,Male,0.932,,S6 (Upper Secondary)
National exams pass rate,2021,Female,0.865,,S6 (Upper Secondary)
National exams pass rate,2022,Male,0.968,,S6 (Upper Secondary)
National exams pass rate,2022,Female,0.929,,S6 (Upper Secondary)
National exams pass rate,2023,Male,0.968,,S6 (Upper Secondary)
National exams pass rate,2023,Female,0.935,,S6 (Upper Secondary)
