indicator,year,sex,pct
parliament_senate_seats_gender,2003,Female,34.0
parliament_senate_seats_gender,2003,Male,66.0
parliament_senate_seats_gender,2011,Female,38.0
parliament_senate_seats_gender,2011,Male,62.0
parliament_senate_seats_gender,2018,Female,38.0
parliament_senate_seats_gender,2018,Male,62.0
parliament_senate_seats_gender,2021,Female,38.0
parliament_senate_seats_gender,2021,Male,62.0
parliament_senate_seats_gender,2024,Female,54.8
parliament_senate_seats_gender,2024,Male,46.2
