indicator,year,sex,pct
national_prosecutors_gender,2014,Female,38.6
national_prosecutors_gender,2014,Male,61.3
national_prosecutors_gender,2016,Female,46.5
national_prosecutors_gender,2016,Male,53.5
national_prosecutors_gender,2018,Female,46.5
national_prosecutors_gender,2018,Male,53.5
national_prosecutors_gender,2021,Female,48.0
national_prosecutors_gender,2021,Male,52.0
national_prosecutors_gender,2023,Female,48.0
national_prosecutors_gender,2023,Male,52.0
