year,quarter,sex,education,value
2023,Q2,All,No schooling,47.92149571219168
2023,Q3,All,No schooling,45.96313378433122
2023,Q4,All,No schooling,46.021355497917995
2024,Q1,All,No schooling,45.74466716067236
2024,Q2,All,No schooling,45.764359791261164
2024,Q3,All,No schooling,45.24621717315679
2024,Q4,All,No schooling,46.577613570340326
2025,Q1,All,No schooling,48.26099521529084
2025,Q2,All,No schooling,46.86434416296421
2025,Q3,All,No schooling,44.06955395047165
2025,Q4,All,No schooling,45.59905668608745
2019,Q1,All,Primary,30.173557260431384
2019,Q2,All,Primary,29.77486727308688
2019,Q3,All,Primary,28.167572784091487
2019,Q4,All,Primary,30.41766844204748
2020,Q1,All,Primary,28.222330458787358
2020,Q2,All,Primary,34.54574094821321
2020,Q3,All,Primary,32.05090573239912
2020,Q4,All,Primary,28.390297913476843
2021,Q1,All,Primary,30.769190747407766
2021,Q2,All,Primary,29.001874033382197
2021,Q3,All,Primary,31.706628560286344
2021,Q4,All,Primary,29.670550297928315
2022,Q1,All,Primary,32.112964615409936
2022,Q2,All,Primary,32.845939682522676
2022,Q3,All,Primary,32.98990062472238
2022,Q4,All,Primary,32.11009139408911
2023,Q1,All,Primary,32.0523821192506
2023,Q2,All,Primary,31.319258026530395
2023,Q3,All,Primary,32.162641164092015
2023,Q4,All,Primary,30.74008605356613
2024,Q1,All,Primary,31.456689179251796
2024,Q2,All,Primary,30.97125274630862
2024,Q3,All,Primary,30.48006380518311
2024,Q4,All,Primary,30.626968124458603
2025,Q1,All,Primary,29.679231352110957
2025,Q2,All,Primary,30.530305387983198
2025,Q3,All,Primary,30.69139432178547
2025,Q4,All,Primary,30.715618136037794
2019,Q1,All,Lower secondary,5.224487123266348
2019,Q2,All,Lower secondary,5.608908224872457
2019,Q3,All,Lower secondary,6.1242502083624055
2019,Q4,All,Lower secondary,5.972874095018547
2020,Q1,All,Lower secondary,5.675793142428207
2020,Q2,All,Lower secondary,7.278534925308365
2020,Q3,All,Lower secondary,7.233134372036498
2020,Q4,All,Lower secondary,6.544232152798857
2021,Q1,All,Lower secondary,5.499787978818657
2021,Q2,All,Lower secondary,5.666173863801295
